"tipo","versao","segmento","grau","url","arquivo","formato","catalogo_url","catalogo_md5","baixado_em_utc","md5"
"A",2026-09-12,"Justiça Estadual","Estadual Turmas Recursais de Uniformização","https://www.cnj.jus.br/sgt/versoes_tabelas/planilhas/83_Tabela_Assuntos_Justica_Estadual_Turmas_Recursais.xls","83_Tabela_Assuntos_Justica_Estadual_Turmas_Recursais.xls","xls","https://www.cnj.jus.br/sgt/versoes.php?tipo_tabela=A","33841a4a644af10189c9a7adc7efd9b9","2026-09-24T17:21:20Z","6aaae1561ca66f0826d3d8ebeac0ac16"
"A",2026-09-12,"Justiça Estadual","Juizados Especiais Fazenda Pública","https://www.cnj.jus.br/sgt/versoes_tabelas/planilhas/83_Tabela_Assuntos_Juizados_Especiais_Fazenda_Publica.xls","83_Tabela_Assuntos_Juizados_Especiais_Fazenda_Publica.xls","xls","https://www.cnj.jus.br/sgt/versoes.php?tipo_tabela=A","33841a4a644af10189c9a7adc7efd9b9","2026-09-24T17:21:20Z","df31467004d3b4fafa5c25dcfbb083b9"
"A",2026-09-12,"Justiça Estadual","Turma Estadual de Uniformização","https://www.cnj.jus.br/sgt/versoes_tabelas/planilhas/83_Tabela_Assuntos_Turma_Estadual_Uniformizacao.xls","83_Tabela_Assuntos_Turma_Estadual_Uniformizacao.xls","xls","https://www.cnj.jus.br/sgt/versoes.php?tipo_tabela=A","33841a4a644af10189c9a7adc7efd9b9","2026-09-24T17:21:21Z","4524c59957a71af81199c3a69dc80e55"
"A",2026-09-12,"Justiça Militar","Militar da União 1º","https://www.cnj.jus.br/sgt/versoes_tabelas/planilhas/83_Tabela_Assuntos_Justica_Militar_Uniao_1grau.xls","83_Tabela_Assuntos_Justica_Militar_Uniao_1grau.xls","xls","https://www.cnj.jus.br/sgt/versoes.php?tipo_tabela=A","33841a4a644af10189c9a7adc7efd9b9","2026-09-24T17:21:24Z","ef9c0490bad2f2f39e2c50b5b6c1b63f"
"A",2026-09-12,"Justiça Militar","Militar da União STM","https://www.cnj.jus.br/sgt/versoes_tabelas/planilhas/83_Tabela_Assuntos_Justica_Militar_Uniao_stm.xls","83_Tabela_Assuntos_Justica_Militar_Uniao_stm.xls","xls","https://www.cnj.jus.br/sgt/versoes.php?tipo_tabela=A","33841a4a644af10189c9a7adc7efd9b9","2026-09-24T17:21:25Z","7189f05620035eb80565eb486259acb4"
"A",2026-09-12,"Justiça Militar","Militar Estadual 1º","https://www.cnj.jus.br/sgt/versoes_tabelas/planilhas/83_Tabela_Assuntos_Justica_Militar_Estadual_1grau.xls","83_Tabela_Assuntos_Justica_Militar_Estadual_1grau.xls","xls","https://www.cnj.jus.br/sgt/versoes.php?tipo_tabela=A","33841a4a644af10189c9a7adc7efd9b9","2026-09-24T17:21:25Z","dc4543ad2fcf7d34cd248a5c4c2a2d12"
"A",2026-09-12,"Justiça Militar","Militar Estadual TJM","https://www.cnj.jus.br/sgt/versoes_tabelas/planilhas/83_Tabela_Assuntos_Justica_Militar_Estadual_tjm.xls","83_Tabela_Assuntos_Justica_Militar_Estadual_tjm.xls","xls","https://www.cnj.jus.br/sgt/versoes.php?tipo_tabela=A","33841a4a644af10189c9a7adc7efd9b9","2026-09-24T17:21:26Z","2f83716f277deba8de83cdb23510ab4b"
"A",2026-09-12,"Justiça Eleitoral","Eleitoral Zonas Eleitorais","https://www.cnj.jus.br/sgt/versoes_tabelas/planilhas/83_Tabela_Assuntos_Justica_Eleitoral_ZE.xls","83_Tabela_Assuntos_Justica_Eleitoral_ZE.xls","xls","https://www.cnj.jus.br/sgt/versoes.php?tipo_tabela=A","33841a4a644af10189c9a7adc7efd9b9","2026-09-24T17:21:27Z","4990b4d5824adea4c460da8d4cf74918"
"A",2026-09-12,"Justiça Eleitoral","Eleitoral TRE","https://www.cnj.jus.br/sgt/versoes_tabelas/planilhas/83_Tabela_Assuntos_Justica_Eleitoral_TRE.xls","83_Tabela_Assuntos_Justica_Eleitoral_TRE.xls","xls","https://www.cnj.jus.br/sgt/versoes.php?tipo_tabela=A","33841a4a644af10189c9a7adc7efd9b9","2026-09-24T17:21:29Z","2aeb954658ae3b01807859998fc3d429"
"A",2026-09-12,"Justiça Eleitoral","Eleitoral TSE","https://www.cnj.jus.br/sgt/versoes_tabelas/planilhas/83_Tabela_Assuntos_Justica_Eleitoral_TSE.xls","83_Tabela_Assuntos_Justica_Eleitoral_TSE.xls","xls","https://www.cnj.jus.br/sgt/versoes.php?tipo_tabela=A","33841a4a644af10189c9a7adc7efd9b9","2026-09-24T17:21:30Z","bf2a28b6f4270175f9d143b1ebc7814b"
"A",2026-09-12,"Superiores","STF","https://www.cnj.jus.br/sgt/versoes_tabelas/planilhas/83_Tabela_Assuntos_STF.xls","83_Tabela_Assuntos_STF.xls","xls","https://www.cnj.jus.br/sgt/versoes.php?tipo_tabela=A","33841a4a644af10189c9a7adc7efd9b9","2026-09-24T17:21:31Z","35ebc21a07298c926fc3e75e87bcb491"
"A",2026-09-12,"Superiores","STJ","https://www.cnj.jus.br/sgt/versoes_tabelas/planilhas/83_Tabela_Assuntos_STJ.xls","83_Tabela_Assuntos_STJ.xls","xls","https://www.cnj.jus.br/sgt/versoes.php?tipo_tabela=A","33841a4a644af10189c9a7adc7efd9b9","2026-09-24T17:21:33Z","d282f8a88f4287cdf588464687da288f"
"A",2026-09-12,"Superiores","CJF","https://www.cnj.jus.br/sgt/versoes_tabelas/planilhas/83_Tabela_Assuntos_CJF.xls","83_Tabela_Assuntos_CJF.xls","xls","https://www.cnj.jus.br/sgt/versoes.php?tipo_tabela=A","33841a4a644af10189c9a7adc7efd9b9","2026-09-24T17:21:34Z","8c21802bc20da7f538256c2e5fcfdd42"
"A",2026-09-12,"Superiores","CNJ","https://www.cnj.jus.br/sgt/versoes_tabelas/planilhas/83_Tabela_Assuntos_CNJ.xls","83_Tabela_Assuntos_CNJ.xls","xls","https://www.cnj.jus.br/sgt/versoes.php?tipo_tabela=A","33841a4a644af10189c9a7adc7efd9b9","2026-09-24T17:21:34Z","c8ced5800c48f50412481299eb264890"
"A",2026-09-12,"","","https://www.cnj.jus.br/sgt/enviarArquivo.php?url=83_dump_dados_oracle_postgres.sql&nome=dump_dados_oracle_postgres.sql","83_dump_dados_oracle_postgres.sql","sql","https://www.cnj.jus.br/sgt/versoes.php?tipo_tabela=A","33841a4a644af10189c9a7adc7efd9b9","2026-09-24T17:21:36Z","9ca11029e53efb865340cf3e22f67058"
"C",2026-09-12,"Justiça do Trabalho","Trabalho 1° Grau","https://www.cnj.jus.br/sgt/versoes_tabelas/planilhas/83_Tabela_Classes_Justica_do_Trabalho_1_Grau.xls","83_Tabela_Classes_Justica_do_Trabalho_1_Grau.xls","xls","https://www.cnj.jus.br/sgt/versoes.php?tipo_tabela=C","0e57a881ac50214c38ce6aa41a04962c","2026-09-24T17:21:37Z","09c56100052f6f76372c507d93691d48"
"C",2026-09-12,"Justiça do Trabalho","Trabalho 2° Grau","https://www.cnj.jus.br/sgt/versoes_tabelas/planilhas/83_Tabela_Classes_Justica_do_Trabalho_2_Grau.xls","83_Tabela_Classes_Justica_do_Trabalho_2_Grau.xls","xls","https://www.cnj.jus.br/sgt/versoes.php?tipo_tabela=C","0e57a881ac50214c38ce6aa41a04962c","2026-09-24T17:21:37Z","a4e2cb90bb9a10e306b947bb653a4b2f"
"C",2026-09-12,"Justiça do Trabalho","Trabalho TST","https://www.cnj.jus.br/sgt/versoes_tabelas/planilhas/83_Tabela_Classes_Justica_do_Trabalho_TST.xls","83_Tabela_Classes_Justica_do_Trabalho_TST.xls","xls","https://www.cnj.jus.br/sgt/versoes.php?tipo_tabela=C","0e57a881ac50214c38ce6aa41a04962c","2026-09-24T17:21:37Z","ce309236bf3c445be6a92376fbb189f8"
"C",2026-09-12,"Justiça Federal","Federal 1° Grau","https://www.cnj.jus.br/sgt/versoes_tabelas/planilhas/83_Tabela_Classes_Justica_Federal_1_Grau.xls","83_Tabela_Classes_Justica_Federal_1_Grau.xls","xls","https://www.cnj.jus.br/sgt/versoes.php?tipo_tabela=C","0e57a881ac50214c38ce6aa41a04962c","2026-09-24T17:21:37Z","2a1f48cc4088460644853f530cb96b90"
"C",2026-09-12,"Justiça Federal","Federal 2° Grau","https://www.cnj.jus.br/sgt/versoes_tabelas/planilhas/83_Tabela_Classes_Justica_Federal_2_Grau.xls","83_Tabela_Classes_Justica_Federal_2_Grau.xls","xls","https://www.cnj.jus.br/sgt/versoes.php?tipo_tabela=C","0e57a881ac50214c38ce6aa41a04962c","2026-09-24T17:21:38Z","030333aad89c3908c536db02096ed6eb"
